target_time,closest_prediction_time,predicted_hazard_score,predicted_risk_level,photo_response_mean,photo_response_median
2022-09-01 07:40:16,2022-09-01 07:40:00,14.0,Extreme,1.9230769230769231,2.0
2022-09-01 11:25:03,2022-09-01 11:40:00,7.5,High,1.3076923076923077,1.0
2022-09-02 10:30:16,2022-09-02 10:40:00,2.0,Low,1.1538461538461535,1.0
2022-09-05 07:50:16,2022-09-05 07:40:00,0.5,Low,1.0,1.0
2022-09-11 08:40:15,2022-09-11 08:40:00,2.5,Low,1.1538461538461535,1.0
2022-09-13 10:30:15,2022-09-13 10:40:00,2.0,Low,1.1538461538461535,1.0
2022-09-14 11:10:16,2022-09-14 11:40:00,4.5,Moderate,2.4615384615384617,2.0
2022-09-14 13:50:16,2022-09-14 13:40:00,6.5,Moderate,2.0,2.0
2022-09-18 15:50:15,2022-09-18 15:40:00,3.0,Moderate,1.5384615384615383,2.0
2022-09-19 18:23:10,2022-09-19 18:40:00,5.0,Moderate,2.4615384615384617,2.0
2022-09-20 15:50:15,2022-09-20 15:40:00,1.5,Low,1.2307692307692308,1.0
2022-09-22 16:43:03,2022-09-22 16:40:00,15.0,Extreme,2.769230769230769,3.0
2022-09-23 07:30:16,2022-09-23 07:40:00,12.0,Extreme,2.6923076923076925,3.0
